,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Vehicle_ID,Frame_ID,Total_Frames,Global_Time,Local_X,Local_Y,Global_X,Global_Y,v_length,v_Width,v_Class,v_Vel,v_Acc,Lane_ID,O_Zone,D_Zone,Int_ID,Section_ID,Direction,Movement,Preceding,Following,Space_Headway,Time_Headway,Location,behavior,lateral_acc,lateral_vel,mean_vel
91680,91680,378253,7662392,354,1190,687,1113433253900,16.344,211.325,6042821.42,2133279.42,14.3,7.9,2,10.52,0.0,2,,,,,,,343,362,52.5,4.99,i-80,2,0.10000000000047748,0.08000000000002672,25.188794326241144
91681,91681,3111304,10395443,198,1190,681,1113433253900,28.272,1116.476,6042713.9470000025,2134178.916,76.2,8.5,3,29.93,-1.08,3,,,,,,,188,216,109.53,3.66,i-80,2,-0.10000000000012221,-0.15000000000000568,25.188297872340435
91682,91682,3582489,10866628,175,1190,528,1113433253900,53.53100000000001,1287.223,6042711.382,2134351.786,15.8,6.9,2,34.52,-11.2,5,,,,,,,161,186,82.17,2.38,i-80,2,-0.0999999999990564,-1.6099999999998715,25.180070921985823
91683,91683,1577166,8861305,315,1190,778,1113433253900,67.078,589.2719999999998,6042825.327000001,2133660.84,13.8,7.8,2,4.96,0.35,6,,,,,,,262,316,29.05,5.86,i-80,2,0.10000000000047748,0.010000000000047748,25.17943262411348
91684,91684,1463052,8747191,277,1190,659,1113433253900,17.577,562.117,6042779.6039999975,2133627.72,13.3,6.3,2,17.77,-1.61,2,,,,,,,267,282,29.52,1.66,i-80,2,1.7000000000003013,0.5700000000000216,25.176453900709227
91685,91685,2476891,9761030,224,1190,632,1113433253900,16.183,890.545,6042735.819,2133953.614,12.9,4.3,2,31.06,2.37,2,,,,,,,212,240,79.99,2.58,i-80,2,2.300000000000324,-0.019999999999988916,25.177375886524832
91686,91686,298248,7582387,362,1190,695,1113433253900,16.685,178.283,6042825.834,2133246.675,13.3,6.3,2,9.38,-7.6,2,,,,,,,354,368,33.04,3.52,i-80,2,-1.2000000000000455,-1.1100000000000065,25.17368794326242
91687,91687,1841161,9125300,279,1190,758,1113433253900,68.08800000000001,668.55,6042816.488,2133739.683,17.3,7.4,2,18.0,0.63,6,,,,,,,254,262,53.31,2.96,i-80,2,-0.30000000000143245,0.0,25.17567375886526
91688,91688,3169542,10453681,201,1190,605,1113433253900,55.57899999999999,1133.01,6042738.338,2134199.641,13.8,6.8,2,25.05,-1.64,5,,,,,,,186,203,85.1,3.4,i-80,2,-0.20000000000095497,-0.020000000000095497,25.173617021276605
91689,91689,507428,7791567,343,1190,688,1113433253900,18.998,263.83,6042817.632,2133331.767,13.3,6.3,2,12.29,-8.38,2,,,,,,,348,354,29.87,2.43,i-80,2,0.4000000000001336,-0.019999999999988916,25.169432624113483
91690,91690,2255352,9539491,240,1190,571,1113433253900,18.308,812.113,6042748.69,2133875.9590000003,14.3,8.4,2,26.2,8.28,2,,,,,,,224,244,78.43,2.99,i-80,2,0.4000000000001336,1.0800000000000054,25.173475177304972
91691,91691,1724479,9008618,258,1190,609,1113433253900,42.31100000000001,636.118,6042794.942000003,2133704.193,13.3,6.8,2,29.4,-5.47,4,,,,,,,251,264,52.39,1.78,i-80,2,-3.4999999999989484,0.020000000000095497,25.168085106382986
91692,91692,287191,7571330,395,1190,764,1113433253900,66.663,167.72099999999998,6042876.734,2133242.362,13.8,6.8,2,27.5,-0.1,6,,,,,,,375,0,65.49,2.38,i-80,2,-6.800000000001205,0.7299999999999329,25.16801418439717
91693,91693,2002528,9286667,254,1190,557,1113433253900,71.758,721.8610000000001,6042813.46,2133793.026,14.8,7.9,2,20.4,-3.68,6,,,,,,,253,279,48.22,2.36,i-80,2,4.899999999996396,-1.150000000000091,25.16489361702128
91694,91694,1352918,8637057,256,1190,370,1113433253900,4.84,531.5169999999998,6042770.777000003,2133595.775,13.3,7.8,2,35.47,-0.11,1,,,,,,,250,263,67.23,1.9,i-80,2,-0.7000000000000561,0.4899999999999949,25.16475177304965
91695,91695,1141275,8425414,269,1190,583,1113433253900,42.237,465.351,6042815.977000001,2133534.621,11.8,7.3,2,28.42,-7.55,4,,,,,,,264,280,52.4,1.84,i-80,2,-0.0999999999990564,-0.060000000000002274,25.15964539007093
91696,91696,3395687,10679826,185,1190,693,1113433253900,70.225,1212.546,6042740.031,2134280.972,12.4,5.8,2,5.47,-6.15,6,,,,,,,179,189,29.95,5.47,i-80,2,-0.49999999999954525,0.060000000000002274,25.15368794326242
91697,91697,2873804,10157943,210,1190,714,1113433253900,67.502,1020.769,6042767.326,2134090.221,15.3,7.9,2,28.78,-1.64,6,,,,,,,202,213,42.62,1.48,i-80,2,-2.200000000000557,0.07999999999995566,25.151773049645396
91698,91698,1674913,8959052,262,1190,631,1113433253900,66.634,618.318,6042821.2760000015,2133689.56,14.3,6.9,2,5.04,1.29,6,,,,,,,279,315,50.23,9.97,i-80,2,1.4210854715202004e-12,0.010000000000047748,25.15205673758866
91699,91699,4067463,11351602,126,1190,731,1113433253900,53.925,1462.096,6042683.694,2134524.429,13.9,5.8,2,19.63,0.0,5,,,,,,,123,161,41.87,2.13,i-80,2,7.105427357601002e-13,-0.44000000000004036,25.15205673758866
91700,91700,3538341,10822480,173,1190,664,1113433253900,41.901,1271.358,6042702.46,2134334.273,14.4,5.9,2,18.04,-0.87,4,,,,,,,165,176,57.63,3.19,i-80,2,0.49999999999954525,0.060000000000002274,25.15205673758866
91701,91701,4483457,11767596,121,1190,661,1113433253900,29.386,1618.243,6042634.536,2134674.509,12.9,5.3,2,28.02,1.34,3,,,,,,,0,144,0.0,0.0,i-80,2,-0.9000000000003894,0.18999999999998352,25.150000000000006
91702,91702,105901,7390040,331,1190,516,1113433253900,43.119,100.771,6042861.654,2133172.966,14.9,5.4,2,21.24,2.98,4,,,,,,,332,0,33.65,1.58,i-80,2,-0.20000000000024443,0.0,25.149219858156034
91703,91703,192464,7476603,332,1190,550,1113433253900,42.96100000000001,134.41899999999998,6042857.325,2133206.424,13.3,7.3,2,22.13,-8.19,4,,,,,,,309,331,94.87,4.29,i-80,2,0.3000000000007219,0.020000000000095497,25.144893617021285
91704,91704,4033063,11317202,159,1190,565,1113433253900,15.472,1456.292,6042646.677,2134512.516,12.8,6.8,2,26.26,-2.86,2,,,,,,,142,163,40.49,1.54,i-80,2,1.7763568394002505e-13,-0.06999999999999673,25.144893617021285
91705,91705,3414588,10698727,188,1190,512,1113433253900,30.195,1226.008,6042698.334,2134287.694,19.8,7.0,2,29.75,0.0,3,,,,,,,174,198,131.88,4.43,i-80,2,3.552713678800501e-13,0.060000000000002274,25.144893617021285
91706,91706,450041,7734180,375,1190,707,1113433253900,70.236,233.212,6042872.205,2133307.772,13.3,7.3,2,23.97,-5.39,6,,,,,,,376,395,68.83,2.87,i-80,2,-0.7000000000005002,0.030000000000001137,25.138226950354618
91707,91707,1586560,8870699,257,1190,537,1113433253900,33.329,596.373,6042790.958,2133663.668,13.8,6.3,2,29.66,1.83,3,,,,,,,245,268,139.74,4.71,i-80,2,3.800000000000381,-0.799999999999983,25.13673758865249
