,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Vehicle_ID,Frame_ID,Total_Frames,Global_Time,Local_X,Local_Y,Global_X,Global_Y,v_length,v_Width,v_Class,v_Vel,v_Acc,Lane_ID,O_Zone,D_Zone,Int_ID,Section_ID,Direction,Movement,Preceding,Following,Space_Headway,Time_Headway,Location,behavior,lateral_acc,lateral_vel,mean_vel
32065,32065,1324533,8608672,112,735,747,1113433208400,28.646,520.424,6042795.762,2133587.672,13.9,5.8,2,20.5,4.67,3,,,,,,,108,121,72.33,3.53,i-80,2,7.105427357601002e-13,-0.009999999999976694,26.32009900990098
32066,32066,263957,7548096,190,735,673,1113433208400,16.739,164.741,6042827.557999997,2133233.249,13.8,6.8,2,20.0,0.32,2,,,,,,,187,200,47.11,2.36,i-80,2,-0.49999999999954525,-0.03999999999997783,26.32118811881187
32067,32067,484981,7769120,179,735,713,1113433208400,69.479,248.325,6042869.597999997,2133322.622,18.3,7.0,2,25.9,11.2,6,,,,,,,168,189,58.82,2.27,i-80,2,6.699999999997885,-0.47000000000011255,26.32980198019801
32068,32068,1741690,9025829,90,735,827,1113433208400,29.956,642.898,6042781.85,2133709.345,13.4,5.3,2,15.01,-2.71,3,,,,,,,86,108,99.56,6.63,i-80,2,6.10000000000035,-1.3299999999999912,26.322277227722765
32069,32069,3155525,10439664,21,735,783,1113433208400,67.565,1126.087,6042751.272000001,2134194.615,12.8,6.8,2,34.22,2.3,6,,,,,,,7,31,77.39,2.26,i-80,2,0.9999999999990905,-0.07000000000005002,26.322376237623754
32070,32070,1905185,9189324,77,735,831,1113433208400,52.526,690.9910000000001,6042798.2420000015,2133759.989,11.9,5.3,2,23.27,-0.29,5,,,,,,,67,94,104.94,4.51,i-80,2,-0.30000000000001137,-0.21999999999998465,26.322673267326724
32071,32071,3443867,10728006,1,735,884,1113433208400,16.684,1238.858,6042682.899,2134298.155,14.3,6.4,2,20.0,0.0,2,,,,,,,0,11,0.0,0.0,i-80,2,0.09999999999976694,0.13999999999999346,26.32257425742573
32072,32072,2400571,9684710,55,735,774,1113433208400,15.757,863.087,6042739.261,2133926.174,15.4,5.4,2,32.2,-11.2,2,,,,,,,44,54,101.61,3.16,i-80,2,2.1000000000000796,0.41999999999999815,26.304851485148504
32073,32073,229132,7513271,120,735,355,1113433208400,5.879,153.015,6042818.2289999975,2133220.269,11.8,6.3,2,38.31,8.37,1,,,,,,,113,125,86.27,2.25,i-80,2,0.9999999999998899,-0.5300000000000082,26.31584158415841
32074,32074,1498560,8782699,3333,735,739,1113433208400,66.524,566.245,6042827.649,2133637.952,15.3,6.9,2,14.99,0.02,6,,,,,,,103,115,31.05,2.07,i-80,2,-0.5999999999986017,0.040000000000048885,26.315445544554443
32075,32075,1742367,9026506,87,735,772,1113433208400,18.611,644.451,6042770.392999997,2133709.54,17.9,5.9,2,12.25,0.0,2,,,,,,,79,93,47.56,3.88,i-80,2,0.0,-0.4899999999999949,26.315445544554443
