,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Vehicle_ID,Frame_ID,Total_Frames,Global_Time,Local_X,Local_Y,Global_X,Global_Y,v_length,v_Width,v_Class,v_Vel,v_Acc,Lane_ID,O_Zone,D_Zone,Int_ID,Section_ID,Direction,Movement,Preceding,Following,Space_Headway,Time_Headway,Location,behavior,lateral_acc,lateral_vel,mean_vel
48033,48033,3349816,10633955,68,875,757,1113433222400,67.922,1196.531,6042740.385,2134264.798,15.3,7.4,2,34.52,-5.89,6,,,,,,,53,72,95.06,2.75,i-80,2,0.0,0.22999999999996135,26.600944881889763
48034,48034,655614,7939753,205,875,668,1113433222400,17.305,318.73,6042809.39,2133386.171,14.8,6.4,2,21.75,-7.28,2,,,,,,,200,212,99.74,4.59,i-80,2,1.40000000000029,0.15000000000000568,26.5959842519685
48035,48035,3004978,10289117,79,875,786,1113433222400,15.674,1077.954,6042707.369,2134138.931,17.8,7.4,2,32.08,0.02,2,,,,,,,60,87,99.33,3.1,i-80,2,0.9999999999996234,0.6499999999999773,26.5959842519685
48036,48036,1148242,8432381,185,875,693,1113433222400,55.494,465.834,6042829.08,2133536.692,12.4,5.8,2,28.0,0.21,5,,,,,,,161,201,112.94,4.03,i-80,2,0.6000000000000227,1.0000000000000142,26.596535433070866
48037,48037,527359,7811498,253,875,779,1113433222400,65.705,266.189,6042863.732999999,2133339.625,25.2,8.5,3,24.96,0.2,6,,,,,,,210,211,48.96,1.96,i-80,2,0.0999999999990564,-0.10000000000005116,26.594488188976378
48038,48038,2720132,10004271,84,875,860,1113433222400,39.452,970.996,6042746.965,2134036.618,15.8,8.5,2,14.99,0.24,4,,,,,,,74,100,43.51,2.9,i-80,2,0.20000000000024443,0.030000000000001137,26.594724409448816
48039,48039,2152174,9436313,116,875,792,1113433222400,15.135,777.8530000000003,6042750.062000001,2133841.552,15.9,5.9,2,22.51,-9.99,2,,,,,,,112,117,40.52,1.8,i-80,2,-6.700000000000017,0.5100000000000016,26.588267716535434
48040,48040,135373,7419512,230,875,664,1113433222400,30.121,113.81,6042847.1329999985,2133184.419,14.9,5.4,2,17.45,-2.22,3,,,,,,,232,240,167.4,9.59,i-80,2,0.0,0.019999999999988916,26.587165354330708
48041,48041,2595228,9879367,100,875,854,1113433222400,41.166,927.649,6042755.055,2133993.999,15.4,5.9,2,15.42,1.17,4,,,,,,,84,107,43.35,2.81,i-80,0,-5.999999999999517,-1.5000000000000568,26.58850393700787
48042,48042,12383,7296522,219,875,558,1113433222400,53.169,61.621,6042876.432999997,2133135.5130000003,19.3,7.5,2,33.52,0.0,5,,,,,,,203,0,105.12,3.14,i-80,2,0.0,0.0,26.642656249999998
48043,48043,2054444,9338583,113,875,355,1113433222400,3.028,747.4780000000003,6042742.0,2133809.815,14.8,7.4,2,42.54,11.2,1,,,,,,,101,120,109.88,2.58,i-80,2,0.3000000000000558,0.19000000000000128,26.652187499999997
